Rank,Model,Train Accuracy,Test Accuracy,Gap,F1-macro,Precision,Recall,ROC-AUC,CV F1 Mean
1,LightGBM,0.8834,0.8044,0.079,0.6199,0.5833,0.6977,0.916,0.8667
2,XGBoost,0.8749,0.8031,0.0719,0.6275,0.5869,0.7197,0.9161,0.8587
3,Logistic Regression,0.8087,0.7991,0.0096,0.6174,0.5741,0.7653,0.917,0.8089
4,Random Forest,0.8493,0.7922,0.0571,0.6196,0.5757,0.751,0.9137,0.8354
5,SVM,0.8038,0.7801,0.0237,0.6057,0.5627,0.7746,0.916,0.8012
6,Decision Tree,0.8378,0.7712,0.0666,0.5809,0.5449,0.7194,0.8899,0.8183
7,Naive Bayes,0.7732,0.7646,0.0086,0.5825,0.5446,0.7318,0.8973,0.7745
